,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,127,0.0,0,0,0.0,7473.0,0.0,0.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,13,0,2022,0.0,0.0,0.0,1,1,0.0,0,-21,11,32,40,False,0.0,0,,,,,,2,425
12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,140,0.0,0,0,0.0,8077.0,0.0,0.0,2016-12-03T17:30:00Z,03 Dec 17:30,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,14,0,1998,0.0,0.0,0.0,5,1,0.0,0,-25,18,43,40,True,0.0,0,,,,,,2,425
13,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,146,0.0,0,0,0.0,8682.0,0.0,0.0,2016-12-11T16:30:00Z,11 Dec 16:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,15,0,1996,0.0,0.0,0.0,2,2,0.0,0,-11,29,40,40,False,0.0,0,,,,,,2,425
14,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,154,0.0,0,0,0.0,9292.0,0.0,0.0,2016-12-14T19:45:00Z,14 Dec 19:45,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,16,0,1974,0.0,0.0,0.0,0,1,0.0,0,-22,16,38,40,True,0.0,0,,,,,,2,425
15,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,170,0.0,0,0,0.0,9906.0,0.0,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,17,0,1958,0.0,0.0,0.0,0,1,0.0,0,-18,10,28,40,True,0.0,0,,,,,,2,425
16,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,179,0.0,0,0,0.0,10522.0,0.0,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,18,0,1940,0.0,0.0,0.0,4,1,0.0,0,-24,17,41,40,False,0.0,0,,,,,,2,425
17,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,185,0.0,0,0,0.0,11140.0,0.0,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,19,0,1929,0.0,0.0,0.0,0,1,0.0,0,-16,17,33,40,False,0.0,0,,,,,,2,425
18,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,200,0.0,0,0,0.0,11762.0,0.0,0.0,2017-01-02T17:15:00Z,02 Jan 17:15,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,20,0,1907,0.0,0.0,0.0,2,0,0.0,0,-26,19,45,40,True,0.0,0,,,,,,2,425
19,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,210,0.0,0,0,0.0,12386.0,0.0,0.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,21,0,1872,0.0,0.0,0.0,0,3,0.0,0,-43,32,75,40,True,0.0,0,,,,,,2,425
20,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,217,0.0,0,0,0.0,13017.0,0.0,0.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,22,0,1844,0.0,0.0,0.0,3,1,0.0,0,-32,15,47,40,False,0.0,0,,,,,,2,425
21,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,227,0.0,0,0,0.0,13651.0,0.0,0.0,2017-02-01T19:45:00Z,01 Feb 19:45,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,23,0,1823,0.0,0.0,0.0,4,0,0.0,0,-23,9,32,40,True,0.0,0,,,,,,2,425
22,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,237,0.0,0,0,0.0,14294.0,0.0,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,24,0,1822,0.0,0.0,0.0,3,1,0.0,0,-2,6,8,40,False,0.0,0,,,,,,2,425
23,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,250,0.0,0,0,0.0,14943.0,0.0,0.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,25,0,1802,0.0,0.0,0.0,2,2,0.0,0,-24,13,37,40,True,0.0,0,,,,,,2,425
24,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,259,0.0,0,0,0.0,15486.0,0.0,0.0,2017-02-25T17:30:00Z,25 Feb 17:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,26,0,1789,0.0,0.0,0.0,1,1,0.0,0,-14,10,24,40,False,0.0,0,,,,,,2,425
25,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,270,0.0,0,0,0.0,16173.0,0.0,0.0,2017-03-06T20:00:00Z,06 Mar 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,27,0,1778,0.0,0.0,0.0,2,1,0.0,0,-12,4,16,40,True,0.0,0,,,,,,2,425
26,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,272,0.0,0,0,0.0,16510.0,0.0,0.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,28,0,1776,0.0,0.0,0.0,2,3,0.0,0,-2,12,14,40,False,0.0,0,,,,,,2,425
27,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,290,0.0,0,0,0.0,17090.0,0.0,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,29,0,1766,0.0,0.0,0.0,3,2,0.0,0,-11,2,13,40,True,0.0,0,,,,,,2,425
28,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,294,0.0,0,0,0.0,17744.0,0.0,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,30,0,1761,0.0,0.0,0.0,1,2,0.0,0,-8,7,15,40,False,0.0,0,,,,,,2,425
29,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,301,0.0,0,0,0.0,18401.0,0.0,0.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,31,0,1760,0.0,0.0,0.0,0,3,0.0,0,-1,5,6,40,False,0.0,0,,,,,,2,425
30,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,320,0.0,0,0,0.0,19062.0,0.0,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,32,0,1762,0.0,0.0,0.0,0,1,0.0,0,1,4,3,40,True,0.0,0,,,,,,2,425
31,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,327,0.0,0,0,0.0,19724.0,0.0,0.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,33,0,1757,0.0,0.0,0.0,2,2,0.0,0,-7,3,10,40,False,0.0,0,,,,,,2,425
32,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,340,0.0,0,0,0.0,20448.0,0.0,0.0,2017-04-22T14:00:00Z,22 Apr 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,34,0,1751,0.0,0.0,0.0,0,0,0.0,0,-7,2,9,40,True,0.0,0,,,,,,2,425
33,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,346,0.0,0,0,0.0,21127.0,0.0,0.0,2017-04-29T14:00:00Z,29 Apr 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,35,0,1747,0.0,0.0,0.0,0,0,0.0,0,-4,3,7,40,False,0.0,0,,,,,,2,425
34,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,360,0.0,0,0,0.0,21846.0,0.0,0.0,2017-05-05T19:00:00Z,05 May 20:00,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,36,0,1741,0.0,0.0,0.0,0,1,0.0,0,-6,2,8,40,True,0.0,0,,,,,,2,425
35,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,370,0.0,0,0,0.0,22796.0,0.0,0.0,2017-05-14T13:15:00Z,14 May 14:15,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,37,0,1734,0.0,0.0,0.0,4,0,0.0,0,-7,5,12,40,True,0.0,0,,,,,,2,425
36,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,534,0.0,0.0,372,0.0,0,0,0.0,23539.0,0.0,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,38,0,1733,0.0,0.0,0.0,2,1,0.0,0,-2,5,7,40,False,0.0,0,,,,,,2,425
37,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,224,0.0,0,0,0.0,12961.0,0.0,0.0,2018-01-13T15:00:00Z,13 Jan 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,23,0,0,0.0,0.0,0.0,4,1,0.0,0,0,0,0,40,False,0.0,0,,,,,,2,425
38,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,240,0.0,0,0,0.0,13559.0,0.0,0.0,2018-01-20T15:00:00Z,20 Jan 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,24,0,1333,0.0,0.0,0.0,1,1,0.0,0,1094,1311,217,40,True,0.0,0,,,,,,2,425
39,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,243,0.0,0,0,0.0,14162.0,0.0,0.0,2018-01-30T19:45:00Z,30 Jan 19:45,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,25,0,2554,0.0,0.0,0.0,1,1,0.0,0,962,1273,311,40,True,0.0,0,,,,,,2,425
40,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,253,0.0,0,0,0.0,14775.0,0.0,0.0,2018-02-03T15:00:00Z,03 Feb 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,26,0,2391,0.0,0.0,0.0,1,3,0.0,0,-195,226,421,40,False,0.0,0,,,,,,2,425
41,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,596,0.0,0.0,270,0.0,0,0,0.0,15400.0,0.0,0.0,2018-02-10T15:00:00Z,10 Feb 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,27,0,2030,0.0,0.0,0.0,0,2,0.0,0,-368,23,391,40,True,0.0,0,,,,,,2,425
