,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
37,37,0,24.0,0.0,0.0,0,14,0,12.0,21.0,0.2,1.0,0.0,409,0.0,0.0,380,0.0,1,0,5.3,21576.0,35.4,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,5.0,0,38,0,91506,0.0,0.0,0.0,4,1,17.0,2,7311,9726,2415,42,False,0.0,0,,,,,,2
38,38,0,,,,0,3,0,,,0.3,,,381,,,8,,5,0,1.2,,5.0,,2019-08-10T11:30:00Z,,,,90,,,11,0,,0,0,,0,1,0,231395,,,,5,0,7.0,0,0,0,0,45,True,,0,,,,,,2
39,39,0,,,,0,14,0,,,11.2,,,381,,,13,,1,0,3.6,,20.8,,2019-08-17T14:00:00Z,,,,90,,,4,0,,0,0,,0,2,0,227989,,,,1,1,4.0,2,-13527,5493,19020,45,False,,0,,,,,,2
40,40,0,,,,0,12,0,,,0.2,,,381,,,29,,1,0,2.1,,21.0,,2019-08-24T14:00:00Z,,,,90,,,18,0,,0,0,,0,3,0,214512,,,,3,1,0.0,2,-16300,6184,22484,45,False,,0,,,,,,2
41,41,0,,,,2,27,1,,,1.1,,,381,,,40,,0,0,4.7,,10.8,,2019-08-31T14:00:00Z,,,,90,,,14,0,,0,0,,0,4,0,206335,,,,0,2,35.0,8,-10713,7048,17761,45,True,,0,,,,,,2
42,42,0,,,,0,20,1,,,0.4,,,381,,,41,,0,0,1.6,,13.2,,2019-09-16T19:00:00Z,,,,90,,,2,0,,0,0,,0,5,0,222761,,,,0,0,2.0,6,10183,23017,12834,45,False,,0,,,,,,2
43,43,0,,,,0,25,1,,,0.7,,,381,,,60,,0,0,1.2,,11.6,,2019-09-22T13:00:00Z,,,,90,,,12,0,,0,0,,0,6,0,240260,,,,0,2,0.0,6,14305,24448,10143,45,True,,0,,,,,,2
44,44,0,,,,0,9,0,,,0.3,,,381,,,62,,2,0,2.1,,18.4,,2019-09-28T14:00:00Z,,,,90,,,3,0,,0,0,,0,7,0,356767,,,,2,2,2.0,0,104500,119543,15043,45,False,,1,,,,,,2
45,45,0,,,,0,11,0,,,1.9,,,381,,,80,,2,0,4.9,,14.0,,2019-10-05T16:30:00Z,,,,90,,,7,0,,0,0,,0,8,0,362404,,,,2,1,33.0,1,7590,24619,17029,45,True,,0,,,,,,2
46,46,0,,,,0,14,0,,,0.0,,,381,,,85,,2,0,2.0,,20.4,,2019-10-19T11:30:00Z,,,,90,,,8,0,,0,0,,0,9,0,349705,,,,0,2,0.0,0,-12009,6720,18729,45,False,,1,,,,,,2
