,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
51,51,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,139,0.0,0,0,0.0,7346.0,0.0,0.0,2018-12-01T15:00:00Z,01 Dec 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,14,0,2582,0.0,0.0,0.0,3,0,0.0,0,-30,26,56,48,True,0.0,0,,,,,,3
52,52,1,3.0,1.0,0.0,0,17,0,2.0,2.0,14.1,0.0,0.0,321,0.0,0.0,149,1.0,1,0,3.9,7902.0,25.2,1.0,2018-12-05T19:45:00Z,05 Dec 19:45,0.0,0.0,63,1.0,1.0,8,0,0.0,0,0,4.0,0,15,0,2549,3.0,0.0,0.0,1,1,0.0,5,-44,39,83,48,False,0.0,0,,,,,,3
53,53,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,159,0.0,0,0,0.0,8460.0,0.0,0.0,2018-12-09T16:00:00Z,09 Dec 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,16,0,2699,0.0,0.0,0.0,2,1,0.0,0,105,205,100,48,True,0.0,0,,,,,,3
54,54,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,164,0.0,0,0,0.0,9019.0,0.0,0.0,2018-12-15T15:00:00Z,15 Dec 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,17,0,2623,0.0,0.0,0.0,1,0,0.0,0,-70,68,138,48,False,0.0,0,,,,,,3
55,55,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,178,0.0,0,0,0.0,9581.0,0.0,0.0,2018-12-22T15:00:00Z,22 Dec 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,18,0,2579,0.0,0.0,0.0,0,0,0.0,0,-57,54,111,48,True,0.0,0,,,,,,3
56,56,0,3.0,0.0,0.0,0,5,0,1.0,2.0,0.2,0.0,0.0,321,0.0,0.0,186,0.0,1,0,0.4,10146.0,3.4,0.0,2018-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,9,0.0,0.0,12,0,0.0,0,0,1.0,0,19,0,2521,0.0,1.0,0.0,0,4,0.0,1,-68,36,104,48,False,0.0,0,,,,,,3
57,57,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,200,0.0,0,0,0.0,10714.0,0.0,0.0,2018-12-29T15:00:00Z,29 Dec 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,20,0,2515,0.0,0.0,0.0,1,1,0.0,0,-44,55,99,47,False,0.0,0,,,,,,3
58,58,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,208,0.0,0,0,0.0,11282.0,0.0,0.0,2019-01-02T20:00:00Z,02 Jan 20:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,21,0,2505,0.0,0.0,0.0,2,0,0.0,0,-22,41,63,47,True,0.0,0,,,,,,3
59,59,0,1.0,0.0,0.0,0,3,0,0.0,1.0,1.1,0.0,0.0,321,0.0,0.0,214,0.0,0,0,0.1,11852.0,0.0,0.0,2019-01-12T17:30:00Z,12 Jan 17:30,0.0,0.0,8,0.0,0.0,6,0,0.0,0,0,0.0,0,22,0,2510,0.0,0.0,0.0,1,2,0.0,1,-35,62,97,47,False,0.0,0,,,,,,3
60,60,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,227,0.0,0,0,0.0,12426.0,0.0,0.0,2019-01-19T15:00:00Z,19 Jan 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,23,0,2517,0.0,0.0,0.0,0,3,0.0,0,-15,79,94,47,True,0.0,0,,,,,,3
61,61,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,238,0.0,0,0,0.0,13005.0,0.0,0.0,2019-01-29T20:00:00Z,29 Jan 20:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,24,0,2496,0.0,0.0,0.0,1,2,0.0,0,-35,42,77,47,True,0.0,0,,,,,,3
62,62,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,249,0.0,0,0,0.0,13634.0,0.0,0.0,2019-02-02T12:30:00Z,02 Feb 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,25,0,2436,0.0,0.0,0.0,0,1,0.0,0,-65,23,88,47,False,0.0,0,,,,,,3
63,63,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,260,0.0,0,0,0.0,14242.0,0.0,0.0,2019-02-11T20:00:00Z,11 Feb 20:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,26,0,2282,0.0,0.0,0.0,1,1,0.0,0,-151,4,155,47,False,0.0,0,,,,,,3
64,64,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,269,0.0,0,0,0.0,14751.0,0.0,0.0,2019-02-23T15:00:00Z,23 Feb 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,27,0,2190,0.0,0.0,0.0,0,2,0.0,0,-94,2,96,47,True,0.0,0,,,,,,3
65,65,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,279,0.0,0,0,0.0,15326.0,0.0,0.0,2019-02-26T20:00:00Z,26 Feb 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,28,0,2168,0.0,0.0,0.0,0,2,0.0,0,-26,1,27,47,True,0.0,0,,,,,,3
66,66,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,289,0.0,0,0,0.0,15931.0,0.0,0.0,2019-03-02T17:30:00Z,02 Mar 17:30,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,29,0,2153,0.0,0.0,0.0,0,2,0.0,0,-17,1,18,47,False,0.0,0,,,,,,3
67,67,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,299,0.0,0,0,0.0,16537.0,0.0,0.0,2019-03-09T15:00:00Z,09 Mar 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,30,0,2119,0.0,0.0,0.0,2,3,0.0,0,-34,1,35,47,True,0.0,0,,,,,,3
68,68,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,301,0.0,0,0,0.0,17010.0,0.0,0.0,2019-03-16T15:00:00Z,16 Mar 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,31,0,2083,0.0,0.0,0.0,2,2,0.0,0,-30,1,31,47,False,0.0,0,,,,,,3
69,69,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,311,0.0,0,0,0.0,17599.0,0.0,0.0,2019-04-01T19:00:00Z,01 Apr 20:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,32,0,2080,0.0,0.0,0.0,0,2,0.0,0,-14,0,14,47,False,0.0,0,,,,,,3
70,70,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,326,0.0,0,0,0.0,18247.0,0.0,0.0,2019-04-06T14:00:00Z,06 Apr 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,33,0,2070,0.0,0.0,0.0,1,0,0.0,0,-9,0,9,47,True,0.0,0,,,,,,3
